cwiczenie;miesien
Dumbell Bicep Curls;biceps
Dumbell OHP;barki
Dumbell OHP;triceps
Dumbell Tricep Extension;triceps
Goblin Squat With Dumbell;czworoglowe
Goblin Squat With Dumbell;posladki
Bar Bicep Curl;biceps
Bar sumo deadlift;plecy_dol
Bar sumo deadlift;posladki
Bar sumo deadlift;dwuglowe
Bar sumo deadlift to OHP;plecy_dol
Bar sumo deadlift to OHP;posladki
Bar sumo deadlift to OHP;dwuglowe
Bar sumo deadlift to OHP;barki
Bar sumo deadlift to OHP;triceps
Bench Chest Flies;klatka
Bench Press;klatka
Bench Press;triceps
Bench Press;barki
Bulgarian Split Squat;posladki
Bulgarian Split Squat;czworoglowe
